"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Photography","United Kingdom",29,"2013","October",4187,"no"
"Games","United States",30,"2014","October",1000,"yes"
"Technology","United Kingdom",45,"2016","June",3489,"no"
"Food","United States",30,"2012","April",6500,"yes"
"Publishing","United Kingdom",30,"2014","February",1884,"yes"
"Design","United States",30,"2016","May",5000,"yes"
"Journalism","United States",30,"2017","July",20000,"no"
"Design","Canada",30,"2017","March",11689,"no"
"Design","Spain",30,"2015","June",1222,"no"
"Music","United States",60,"2011","October",2500,"no"
"Technology","Sweden",30,"2017","August",5874,"no"
"Technology","Netherlands",30,"2014","June",24438,"no"
"Photography","Netherlands",30,"2015","May",7331,"no"
"Theater","United States",23,"2011","November",3500,"no"
"Film & Video","United States",27,"2014","November",7500,"no"
"Photography","United Kingdom",28,"2014","October",1535,"no"
"Publishing","United States",37,"2010","August",1400,"no"
"Fashion","Australia",30,"2015","November",11406,"no"
"Film & Video","United Kingdom",30,"2015","June",13956,"yes"
"Publishing","United States",30,"2015","February",2500,"no"
"Music","United Kingdom",28,"2016","May",4187,"no"
"Theater","United States",14,"2016","August",3500,"yes"
"Art","United States",45,"2012","February",8000,"no"
"Publishing","Canada",30,"2017","May",9351,"yes"
"Games","United States",20,"2012","August",10000,"yes"
"Design","United States",30,"2016","August",20000,"yes"
"Music","United Kingdom",34,"2015","April",17446,"no"
"Design","United Kingdom",42,"2015","June",3070,"yes"
"Publishing","Canada",42,"2016","September",9740,"no"
"Technology","United States",28,"2016","October",50000,"no"
"Art","Canada",30,"2016","June",3117,"no"
"Theater","United States",41,"2014","October",2000,"no"
"Film & Video","United States",35,"2014","March",12500,"yes"
"Food","United Kingdom",30,"2015","June",3908,"no"
"Music","Canada",47,"2015","May",10130,"no"
"Music","United States",30,"2017","March",5000,"no"
"Fashion","Canada",60,"2013","November",5455,"yes"
"Music","Canada",60,"2015","April",4675,"no"
"Art","Netherlands",30,"2015","January",1833,"no"
"Music","Canada",38,"2013","October",7792,"yes"
"Music","France",45,"2016","September",2444,"yes"
"Music","United States",57,"2015","January",2000,"no"
"Games","United States",30,"2016","November",15000,"yes"
"Film & Video","Belgium",20,"2017","June",6110,"yes"
"Dance","United Kingdom",30,"2013","March",1396,"no"
"Fashion","United States",20,"2012","September",2600,"no"
"Games","United States",12,"2016","August",1000,"no"
"Publishing","United Kingdom",29,"2016","November",22039,"no"
"Publishing","Netherlands",45,"2015","November",13441,"yes"
"Fashion","Germany",30,"2017","April",29326,"no"
"Publishing","United States",30,"2013","November",2800,"no"
"Music","Germany",30,"2016","May",4521,"yes"
"Design","United States",30,"2017","April",3000,"no"
"Technology","United States",30,"2017","March",10000,"no"
"Fashion","Canada",30,"2017","September",7792,"yes"
"Food","United States",30,"2015","February",10000,"no"
"Film & Video","United States",30,"2012","July",25000,"no"
"Film & Video","Australia",30,"2016","June",3802,"no"
"Design","United States",36,"2017","May",15985,"yes"
"Design","Canada",20,"2014","August",2727,"no"
"Art","Germany",30,"2016","October",2197,"no"
"Comics","Canada",33,"2016","August",2338,"yes"
"Design","Australia",60,"2014","December",34217,"yes"
"Technology","France",30,"2016","January",12219,"no"
"Publishing","United States",25,"2017","November",12000,"yes"
"Journalism","United Kingdom",30,"2016","March",13956,"yes"
"Dance","United States",20,"2013","February",5000,"yes"
"Games","United Kingdom",30,"2015","October",1396,"no"
"Publishing","United States",30,"2016","November",20000,"no"
"Theater","United States",22,"2012","June",2100,"yes"
"Music","United States",30,"2010","November",1500,"yes"
"Fashion","Australia",30,"2013","November",3042,"no"
"Design","United Kingdom",30,"2015","September",41869,"no"
"Design","Canada",30,"2014","July",1714,"no"
"Comics","United States",30,"2015","February",5000,"yes"
"Dance","United States",40,"2012","February",1678,"yes"
"Publishing","Netherlands",34,"2014","June",2444,"yes"
"Theater","Canada",45,"2015","April",5844,"yes"
"Music","United States",33,"2015","July",10000,"no"
"Technology","United States",30,"2015","October",20000,"no"
"Art","United States",31,"2013","November",30000,"no"
"Music","United States",31,"2013","October",23978,"no"
"Food","United States",30,"2014","May",35000,"no"
"Art","United States",35,"2012","December",2000,"yes"
"Food","United States",60,"2012","January",3000,"yes"
"Art","United States",45,"2015","June",5000,"yes"
"Film & Video","United States",30,"2011","March",5000,"yes"
"Games","United Kingdom",30,"2017","July",2791,"yes"
"Photography","United States",40,"2010","September",4000,"no"
"Music","United States",20,"2015","April",3650,"no"
"Design","United Kingdom",30,"2016","November",15352,"no"
"Film & Video","United Kingdom",25,"2013","June",1396,"no"
"Music","United States",30,"2012","January",6000,"yes"
"Design","Canada",45,"2014","August",6234,"yes"
"Music","United States",29,"2011","September",5000,"yes"
"Art","United Kingdom",30,"2016","January",2791,"no"
"Publishing","United States",30,"2017","May",5000,"yes"
"Music","United Kingdom",60,"2017","October",3629,"yes"
"Film & Video","United States",60,"2010","December",5000,"no"
"Film & Video","United Kingdom",15,"2014","January",6978,"no"
"Theater","United States",36,"2015","May",6000,"yes"
"Film & Video","Sweden",30,"2017","March",35247,"no"
"Film & Video","Canada",60,"2013","September",19481,"no"
"Photography","United States",60,"2012","December",3000,"no"
"Journalism","United States",60,"2015","November",2000,"no"
"Music","United Kingdom",30,"2015","January",6978,"no"
"Food","United States",49,"2010","October",10000,"no"
"Publishing","Canada",30,"2015","November",11689,"yes"
"Design","United States",32,"2015","May",50000,"yes"
"Technology","United States",30,"2016","February",28000,"no"
"Music","United States",30,"2012","August",1000,"yes"
"Design","Canada",30,"2017","August",7792,"yes"
"Technology","United States",31,"2014","September",50000,"no"
"Games","Canada",30,"2016","May",3896,"no"
"Film & Video","United States",60,"2012","February",50000,"no"
"Film & Video","Mexico",44,"2017","June",3974,"yes"
"Music","United States",30,"2013","February",3000,"yes"
"Publishing","United States",40,"2014","September",10000,"no"
"Design","United Kingdom",30,"2013","November",48847,"yes"
"Fashion","United States",31,"2016","March",10000,"yes"
"Crafts","United Kingdom",30,"2014","November",2071,"no"
"Film & Video","United States",39,"2012","October",3001,"yes"
"Publishing","United States",15,"2014","December",15000,"no"
"Art","United Kingdom",30,"2015","November",6978,"no"
"Games","France",59,"2017","January",2444,"no"
"Photography","Canada",30,"2017","November",5844,"yes"
"Technology","Switzerland",30,"2016","February",3065,"no"
"Music","United States",50,"2012","February",2000,"no"
"Technology","United Kingdom",30,"2014","November",8374,"no"
"Publishing","United States",30,"2016","July",15654,"no"
"Food","United States",30,"2017","March",50000,"no"
"Design","Hong Kong SAR China",60,"2017","March",19119,"no"
"Design","United States",27,"2013","February",23000,"no"
"Music","United States",30,"2017","February",40000,"no"
"Journalism","United States",45,"2014","August",4500,"no"
"Publishing","Canada",30,"2015","April",11689,"no"
"Film & Video","United States",34,"2012","January",1500,"no"
"Publishing","Canada",30,"2017","January",3117,"no"
"Publishing","United States",30,"2016","August",30000,"no"
"Art","United Kingdom",30,"2014","March",4187,"no"
"Technology","United Kingdom",30,"2016","November",1926,"no"
"Art","United States",60,"2016","January",30000,"no"
"Film & Video","United States",30,"2016","March",1000,"no"
"Film & Video","United Kingdom",30,"2015","September",16748,"yes"
"Photography","United States",50,"2010","November",7000,"no"
"Film & Video","United States",30,"2014","March",2000,"yes"
"Technology","Canada",29,"2015","May",7792,"no"
"Music","United States",32,"2012","October",22000,"no"
"Crafts","United States",30,"2014","December",1500,"no"
"Film & Video","United Kingdom",30,"2014","March",1396,"yes"
"Film & Video","United Kingdom",30,"2013","November",41869,"yes"
"Film & Video","United States",29,"2014","April",2000,"no"
"Journalism","France",21,"2015","October",24438,"no"
"Theater","United States",36,"2017","April",7500,"no"
"Music","United States",30,"2012","June",3000,"no"
"Games","United Kingdom",60,"2017","September",15352,"no"
"Comics","United States",30,"2016","January",1000,"no"
"Film & Video","United States",60,"2011","November",20000,"no"
"Publishing","United Kingdom",40,"2014","April",5583,"no"
"Theater","United States",26,"2015","January",5000,"no"
"Photography","United States",23,"2013","August",7000,"yes"
"Music","United Kingdom",60,"2017","February",2791,"no"
"Publishing","Denmark",30,"2016","August",15960,"no"
"Fashion","Denmark",35,"2014","November",24604,"yes"
"Music","United States",45,"2012","July",6000,"yes"
"Publishing","United States",44,"2015","June",3000,"yes"
"Music","United States",21,"2014","May",9500,"no"
"Film & Video","Canada",30,"2014","October",3896,"no"
"Technology","Austria",47,"2016","September",26882,"yes"
"Food","United States",21,"2013","June",4000,"yes"
"Film & Video","United Kingdom",33,"2016","October",2791,"yes"
"Music","United States",51,"2012","June",5000,"yes"
"Film & Video","United States",30,"2011","July",3000,"no"
"Games","United Kingdom",28,"2015","March",13956,"no"
"Publishing","United Kingdom",60,"2013","July",1396,"no"
"Film & Video","United Kingdom",40,"2013","March",1396,"yes"
"Dance","United States",30,"2017","January",50000,"no"
"Music","United States",60,"2015","June",10000,"no"
"Music","Canada",28,"2014","August",3896,"no"
"Art","United Kingdom",42,"2012","December",3140,"yes"
"Comics","Canada",30,"2017","April",1948,"no"
"Film & Video","United States",60,"2015","September",10000,"no"
"Fashion","New Zealand",35,"2016","August",17798,"yes"
"Design","United States",30,"2011","January",10000,"yes"
"Design","Australia",55,"2017","April",22811,"no"
"Publishing","Australia",40,"2017","February",3042,"yes"
"Film & Video","United States",29,"2012","March",1500,"no"
"Design","United States",30,"2017","September",8000,"yes"
"Food","United Kingdom",60,"2015","June",6978,"no"
"Music","Australia",30,"2016","February",1141,"yes"
"Technology","Australia",40,"2016","February",7604,"no"
"Publishing","Australia",14,"2014","February",3802,"yes"
"Design","United States",30,"2014","November",5000,"no"
"Music","United States",30,"2012","May",4000,"yes"
"Film & Video","United States",30,"2015","July",7500,"yes"
"Fashion","Italy",30,"2017","September",7331,"no"
"Film & Video","Canada",30,"2014","June",3429,"no"
"Film & Video","United States",30,"2011","November",5000,"no"
"Food","United States",31,"2013","December",26772,"no"
"Music","United States",31,"2015","June",1300,"yes"
"Music","United States",30,"2014","September",2500,"no"
"Technology","Australia",30,"2015","May",5855,"no"
"Theater","United States",25,"2017","September",2500,"no"
"Film & Video","United States",30,"2017","January",2500,"no"
"Design","United Kingdom",39,"2013","December",6978,"yes"
"Photography","United Kingdom",32,"2015","August",11165,"no"
"Music","United States",60,"2017","February",3000,"no"
"Art","United States",28,"2012","June",1000,"yes"
"Fashion","United Kingdom",30,"2013","June",3908,"no"
"Food","Mexico",30,"2016","November",21192,"no"
"Journalism","Germany",31,"2015","October",1222,"yes"
"Film & Video","United Kingdom",30,"2015","March",2791,"no"
"Music","United States",23,"2011","November",45000,"no"
"Music","United States",30,"2012","June",12000,"no"
"Publishing","United Kingdom",30,"2013","January",6978,"no"
"Games","Netherlands",30,"2014","October",24438,"no"
"Technology","United States",23,"2014","August",10000,"no"
"Publishing","Italy",30,"2017","May",42767,"yes"
"Art","United States",24,"2013","July",4000,"yes"
"Film & Video","United States",28,"2012","April",8200,"no"
"Film & Video","United States",36,"2017","January",8000,"yes"
"Fashion","United States",30,"2014","July",50000,"no"
"Food","United States",40,"2016","August",30000,"yes"
"Comics","United States",35,"2017","April",1000,"yes"
"Film & Video","United States",45,"2011","July",7000,"yes"
"Music","United States",21,"2013","June",2500,"yes"
"Games","United States",30,"2015","May",9500,"no"
"Crafts","France",30,"2017","March",2444,"yes"
"Games","United Kingdom",31,"2013","May",4187,"no"
"Journalism","United States",30,"2013","March",15000,"no"
"Publishing","United Kingdom",30,"2017","May",1117,"yes"
"Games","United Kingdom",28,"2016","January",13956,"no"
"Games","United States",30,"2014","July",5000,"yes"
"Art","United States",30,"2015","March",1000,"no"
"Technology","United States",45,"2013","February",4000,"no"
"Publishing","United Kingdom",40,"2014","February",8374,"no"
"Film & Video","United States",60,"2011","August",12000,"no"
"Journalism","United Kingdom",30,"2015","March",13956,"no"
"Design","United Kingdom",21,"2013","November",2791,"yes"
"Film & Video","United Kingdom",30,"2017","October",27913,"no"
"Music","United States",30,"2014","May",2000,"no"
"Publishing","United States",30,"2011","September",1000,"no"
"Music","United Kingdom",43,"2017","June",5583,"yes"
"Film & Video","United States",33,"2011","July",5600,"no"
"Music","United States",60,"2012","July",6000,"no"
"Publishing","Canada",30,"2014","August",2338,"no"
"Design","United Kingdom",30,"2017","February",13956,"yes"
"Crafts","United Kingdom",60,"2016","December",5583,"no"
"Photography","United Kingdom",21,"2016","January",1396,"no"
"Music","United States",35,"2011","April",1500,"yes"
"Publishing","United Kingdom",30,"2012","December",10467,"no"
"Fashion","United States",32,"2014","July",3000,"no"
"Design","United States",50,"2012","November",15000,"no"
"Film & Video","United States",24,"2012","March",4000,"no"
"Technology","Australia",60,"2015","October",7604,"no"
"Music","United Kingdom",30,"2015","November",33495,"no"
"Film & Video","United States",45,"2014","November",10000,"no"
"Technology","United States",30,"2014","September",25000,"no"
"Design","United States",45,"2013","January",2000,"no"
"Fashion","United States",21,"2014","March",8000,"yes"
"Food","United States",30,"2015","January",7500,"no"
"Photography","United Kingdom",45,"2017","June",1396,"yes"
"Music","United Kingdom",40,"2013","June",6978,"yes"
"Games","United Kingdom",29,"2015","September",13956,"yes"
"Games","United States",30,"2011","August",1000,"yes"
"Art","Australia",30,"2014","March",3802,"no"
"Film & Video","United Kingdom",60,"2014","October",6978,"no"
"Comics","Canada",35,"2014","August",5455,"yes"
"Art","New Zealand",28,"2013","November",5695,"no"
"Music","United States",30,"2016","February",5000,"yes"
"Dance","United States",27,"2014","September",4000,"yes"
"Design","United States",60,"2014","July",3000,"yes"
"Technology","France",30,"2016","August",6110,"no"
"Food","United States",59,"2015","August",25000,"yes"
"Publishing","United Kingdom",35,"2017","July",6280,"no"
"Publishing","United Kingdom",30,"2017","January",2093,"no"
"Games","United Kingdom",32,"2016","October",14654,"yes"
"Crafts","United States",30,"2014","October",2000,"no"
"Design","United States",28,"2015","March",25000,"yes"
"Fashion","United Kingdom",30,"2014","February",1396,"no"
"Fashion","Netherlands",30,"2015","November",24438,"no"
"Music","United States",30,"2011","October",1000,"no"
"Film & Video","United States",30,"2016","June",30000,"no"
"Music","United Kingdom",30,"2015","January",9769,"no"
"Theater","United States",30,"2014","October",2500,"yes"
"Fashion","Hong Kong SAR China",30,"2017","January",4843,"no"
"Technology","Italy",30,"2015","September",14663,"no"
"Technology","Denmark",30,"2015","December",2460,"no"
"Fashion","United States",7,"2014","February",12000,"no"
"Technology","United Kingdom",30,"2016","December",34891,"no"
"Fashion","Canada",36,"2014","February",9740,"yes"
"Design","Canada",30,"2014","August",7792,"no"
"Music","United States",41,"2013","February",7000,"yes"
"Publishing","United Kingdom",30,"2014","October",4187,"yes"
"Fashion","Netherlands",30,"2014","May",12219,"no"
"Design","United States",60,"2017","April",35000,"no"
"Technology","Canada",45,"2016","September",27273,"yes"
"Food","Canada",30,"2016","March",27273,"no"
"Music","United States",30,"2011","November",10000,"no"
"Music","United States",60,"2015","April",1000,"no"
"Film & Video","United Kingdom",34,"2013","May",13956,"yes"
"Games","United Kingdom",42,"2017","February",13956,"no"
"Fashion","United Kingdom",30,"2017","September",11165,"yes"
"Publishing","Canada",21,"2017","March",1948,"yes"
"Photography","United Kingdom",30,"2014","May",6280,"no"
"Games","United Kingdom",30,"2017","June",6978,"no"
"Film & Video","United States",43,"2011","February",2750,"yes"
"Publishing","United Kingdom",30,"2013","April",2093,"yes"
"Music","United States",39,"2014","September",3000,"yes"
"Art","United States",20,"2015","May",15000,"no"
"Theater","United Kingdom",17,"2015","October",7676,"no"
"Design","France",36,"2017","May",24438,"yes"
"Film & Video","United Kingdom",30,"2016","October",13956,"no"
"Technology","Ireland",30,"2017","June",6110,"no"
"Crafts","Canada",30,"2015","February",4286,"no"
"Design","United States",25,"2013","October",2500,"yes"
"Film & Video","United States",30,"2011","August",2500,"yes"
"Games","France",45,"2015","June",4888,"no"
"Design","Canada",34,"2013","October",15585,"no"
"Publishing","United States",23,"2015","October",10500,"no"
"Design","Ireland",30,"2017","September",24438,"no"
"Theater","United Kingdom",30,"2016","June",2093,"yes"
"Games","United Kingdom",30,"2016","February",1675,"no"
"Comics","United States",49,"2016","January",2999,"yes"
"Film & Video","United States",52,"2011","May",2000,"yes"
"Technology","United Kingdom",33,"2014","March",13956,"no"
"Film & Video","United Kingdom",30,"2014","May",8374,"no"
"Technology","Canada",30,"2016","October",7714,"yes"
"Food","United States",30,"2017","June",20000,"no"
"Technology","United Kingdom",30,"2017","August",6978,"no"
"Film & Video","United Kingdom",28,"2014","April",2093,"yes"
"Fashion","United States",9,"2012","May",5500,"yes"
"Publishing","United States",20,"2014","June",25000,"no"
"Music","United States",15,"2012","April",5000,"no"
"Technology","Italy",35,"2016","May",12219,"no"
"Technology","United States",30,"2015","February",2500,"no"
"Publishing","United Kingdom",60,"2013","February",1396,"no"
"Technology","Mexico",56,"2017","October",7947,"no"
"Fashion","Belgium",35,"2017","June",8553,"no"
"Games","Australia",30,"2016","December",22811,"no"
"Journalism","United States",60,"2015","July",5015,"no"
"Film & Video","United Kingdom",14,"2013","October",4885,"no"
"Publishing","United States",45,"2017","April",6000,"yes"
"Food","United Kingdom",30,"2016","January",27913,"no"
"Music","Sweden",59,"2015","October",8812,"no"
"Fashion","Canada",60,"2015","March",14026,"no"
"Comics","United States",20,"2014","December",6000,"no"
"Food","United States",14,"2016","November",30000,"no"
"Music","United Kingdom",30,"2012","November",1814,"no"
"Film & Video","United Kingdom",35,"2015","March",6978,"yes"
"Music","United States",23,"2014","April",14000,"yes"
"Games","United States",30,"2015","May",7000,"no"
"Music","Canada",30,"2014","February",3957,"no"
"Games","United Kingdom",34,"2016","December",1396,"yes"
"Publishing","United States",30,"2013","January",5600,"no"
"Theater","United States",30,"2012","February",2000,"no"
"Fashion","United Kingdom",47,"2013","August",1396,"yes"
"Publishing","Ireland",30,"2014","November",1100,"yes"
"Art","Australia",60,"2014","May",7604,"yes"
"Fashion","Australia",30,"2016","January",3422,"no"
"Film & Video","United States",30,"2012","October",3000,"yes"
"Technology","Germany",30,"2017","September",12219,"no"
"Crafts","Hong Kong SAR China",35,"2017","August",25492,"no"
"Food","Canada",30,"2017","April",15585,"no"
"Film & Video","United States",60,"2017","April",1000,"no"
"Comics","Canada",30,"2016","February",1558,"yes"
"Games","Denmark",43,"2016","April",2460,"yes"
"Film & Video","Canada",30,"2014","July",7792,"no"
"Publishing","United States",30,"2017","January",5500,"no"
"Music","United States",31,"2012","March",3500,"yes"
"Games","Canada",30,"2015","May",7792,"no"
"Technology","United Kingdom",45,"2015","December",34891,"no"
"Photography","United Kingdom",36,"2015","April",4187,"no"
"Publishing","Canada",29,"2016","September",3117,"no"
"Publishing","Canada",30,"2014","May",3896,"no"
"Crafts","United States",21,"2013","February",1000,"yes"
"Fashion","Mexico",20,"2017","May",11656,"no"
"Technology","United States",30,"2017","January",18000,"no"
"Fashion","Australia",30,"2014","April",1901,"no"
"Games","United States",25,"2015","July",25000,"no"
"Food","United States",41,"2015","November",40000,"no"
"Publishing","United States",30,"2014","April",2300,"yes"
"Technology","Canada",45,"2014","April",38962,"no"
"Publishing","United States",7,"2012","March",1350,"yes"
"Music","United States",29,"2011","May",4000,"yes"
"Film & Video","United Kingdom",21,"2014","June",8374,"no"
"Publishing","United Kingdom",30,"2014","March",2791,"yes"
"Film & Video","Netherlands",25,"2017","November",1833,"no"
"Music","United States",30,"2017","January",5000,"no"
"Crafts","Canada",17,"2016","December",3896,"no"
"Technology","Netherlands",60,"2014","August",18329,"no"
"Technology","United Kingdom",47,"2015","September",13956,"no"
"Music","United States",48,"2011","September",1000,"yes"
"Publishing","United States",19,"2014","April",1913,"no"
"Photography","New Zealand",30,"2014","December",14239,"no"
"Games","Canada",30,"2013","September",13247,"yes"
"Publishing","Australia",30,"2015","February",1521,"yes"
"Film & Video","United States",27,"2013","July",50000,"no"
"Music","United States",25,"2015","October",2000,"no"
"Fashion","Canada",60,"2016","February",38962,"no"
"Music","United States",30,"2017","March",20000,"no"
"Art","United Kingdom",40,"2017","June",20935,"no"
"Music","United States",45,"2015","April",20000,"yes"
"Music","United States",15,"2012","April",1250,"yes"
"Publishing","United Kingdom",30,"2014","June",2093,"no"
"Food","United States",25,"2015","June",10000,"no"
"Photography","Australia",30,"2014","July",9125,"no"
"Music","United Kingdom",35,"2013","August",1954,"yes"
"Fashion","United States",30,"2014","December",6000,"no"
"Music","United Kingdom",60,"2017","June",13956,"yes"
"Comics","United Kingdom",30,"2015","March",5583,"no"
"Games","United States",29,"2013","July",9500,"yes"
"Publishing","United States",30,"2012","March",1500,"no"
"Games","France",60,"2015","October",3910,"no"
"Music","United States",15,"2013","November",2500,"yes"
"Film & Video","United States",29,"2015","September",6000,"no"
"Technology","Australia",21,"2016","December",9885,"yes"
"Photography","United States",30,"2014","July",7000,"no"
"Publishing","United States",30,"2014","January",10000,"no"
"Design","France",30,"2017","October",18329,"yes"
"Technology","United Kingdom",30,"2013","March",16748,"no"
"Technology","Germany",60,"2016","August",1833,"no"
"Food","United States",30,"2014","July",10000,"no"
"Fashion","United Kingdom",30,"2014","October",4187,"no"
"Film & Video","United States",40,"2010","May",3500,"no"
"Food","United States",30,"2015","March",25000,"no"
"Crafts","United States",30,"2014","August",6500,"yes"
"Film & Video","United States",31,"2015","March",12000,"yes"
"Publishing","Spain",40,"2015","December",12219,"yes"
"Comics","United Kingdom",42,"2014","August",2093,"yes"
"Food","United Kingdom",30,"2017","April",16748,"no"
"Food","United States",30,"2014","July",2000,"no"
"Music","United States",30,"2016","February",17300,"no"
"Fashion","United States",15,"2015","August",3000,"no"
"Music","United States",40,"2016","December",1500,"yes"
"Food","United States",17,"2016","March",10000,"yes"
"Film & Video","United Kingdom",30,"2016","February",6978,"yes"
"Comics","United States",30,"2015","July",3500,"yes"
"Music","United States",32,"2013","March",9000,"yes"
"Games","United States",30,"2013","August",15000,"yes"
"Film & Video","United States",30,"2014","January",1650,"no"
"Film & Video","United States",30,"2015","October",2000,"no"
"Publishing","Netherlands",23,"2015","November",12219,"yes"
"Music","United States",30,"2011","January",10000,"yes"
"Publishing","United States",38,"2014","May",2200,"yes"
"Design","Australia",30,"2016","September",3802,"no"
"Design","United Kingdom",30,"2016","May",1396,"yes"
"Film & Video","Mexico",30,"2017","June",1113,"yes"
"Music","United States",20,"2017","March",2500,"yes"
"Publishing","United States",30,"2016","November",6950,"no"
"Music","United States",32,"2014","November",19000,"no"
"Technology","Australia",31,"2015","August",7604,"no"
"Games","United States",39,"2011","December",27500,"no"
"Music","United Kingdom",30,"2013","May",6978,"no"
"Design","Italy",50,"2016","August",36657,"no"
"Fashion","United States",29,"2015","March",10000,"no"
"Dance","Netherlands",40,"2014","July",1222,"yes"
"Journalism","United States",30,"2012","February",25000,"no"
"Games","United Kingdom",30,"2015","September",1047,"yes"
"Technology","United States",30,"2015","April",45000,"no"
"Art","United States",21,"2013","August",3500,"yes"
"Games","United States",37,"2011","July",7000,"no"
"Publishing","Spain",30,"2015","December",3666,"no"
"Design","United Kingdom",29,"2015","June",10467,"no"
"Music","United States",21,"2012","January",1500,"no"
"Film & Video","United States",30,"2013","January",18500,"yes"
"Games","Mexico",30,"2017","August",1060,"no"
"Film & Video","United States",32,"2011","August",1000,"yes"
"Games","Canada",14,"2015","February",1948,"no"
"Food","United Kingdom",15,"2013","January",20935,"no"
"Music","United States",30,"2017","February",30000,"no"
"Music","United States",30,"2013","July",3000,"yes"
"Comics","Canada",30,"2015","May",1948,"yes"
"Fashion","Australia",14,"2014","August",11406,"no"
"Technology","Australia",61,"2014","October",21975,"no"
"Theater","United Kingdom",33,"2015","May",2791,"yes"
"Photography","United Kingdom",30,"2015","March",27913,"no"
"Publishing","United Kingdom",60,"2014","November",2791,"yes"
"Games","United Kingdom",27,"2017","May",24424,"no"
"Film & Video","United States",30,"2011","February",12000,"yes"
"Music","United States",30,"2015","August",3500,"no"
"Comics","United Kingdom",32,"2016","August",1396,"yes"
"Art","United States",30,"2016","May",2000,"no"
"Design","Canada",32,"2016","July",3896,"yes"
"Art","United States",42,"2009","September",1250,"yes"
"Games","United Kingdom",30,"2016","November",6978,"no"
"Film & Video","United States",20,"2015","February",5000,"no"
"Film & Video","Germany",21,"2017","September",8065,"yes"
"Design","United States",30,"2017","February",10000,"yes"
"Design","United States",34,"2016","December",4250,"yes"
"Film & Video","United States",23,"2012","October",4725,"yes"
"Fashion","Australia",26,"2016","July",5323,"yes"
"Games","United Kingdom",34,"2016","October",4187,"no"
"Comics","Canada",30,"2013","October",23377,"no"
"Design","Italy",20,"2016","July",9775,"no"
"Publishing","United States",30,"2012","April",10000,"no"
"Publishing","United Kingdom",30,"2014","June",27913,"no"
"Food","Canada",15,"2014","July",15585,"no"
"Publishing","United States",30,"2012","June",1000,"no"
"Comics","United Kingdom",30,"2015","August",5583,"yes"
"Games","United Kingdom",30,"2015","February",8374,"yes"
"Food","France",30,"2016","November",1833,"no"
"Publishing","United States",45,"2016","March",5000,"no"
"Design","Germany",31,"2016","February",9164,"no"
"Publishing","United States",30,"2016","October",2000,"no"
"Food","United States",25,"2014","June",5000,"yes"
"Design","Netherlands",30,"2016","January",2444,"yes"
"Games","United Kingdom",10,"2017","January",1117,"no"
"Music","United States",60,"2013","May",15000,"no"
"Film & Video","United Kingdom",30,"2013","June",2791,"yes"
"Music","United Kingdom",30,"2014","June",4187,"yes"
"Art","United States",60,"2014","July",6000,"no"
"Film & Video","United States",7,"2015","October",1000,"yes"
"Technology","United Kingdom",30,"2016","January",6978,"yes"
"Crafts","United Kingdom",30,"2015","June",1396,"no"
"Film & Video","United States",29,"2014","July",8000,"yes"
"Fashion","United Kingdom",35,"2017","September",13956,"yes"
"Design","United States",45,"2013","September",12000,"no"
"Music","United States",30,"2016","September",3130,"yes"
"Design","United Kingdom",22,"2016","September",1396,"yes"
"Design","United Kingdom",45,"2013","October",11165,"no"
"Theater","United States",59,"2011","May",4000,"yes"
"Music","United States",28,"2012","May",5000,"yes"
"Technology","Australia",40,"2014","September",7604,"no"
"Food","United Kingdom",31,"2015","September",30704,"no"
"Design","Germany",60,"2017","October",24438,"yes"
"Film & Video","United States",29,"2013","July",2500,"no"
"Music","United Kingdom",57,"2016","March",34891,"yes"
"Food","United States",28,"2012","June",3000,"yes"
"Film & Video","United Kingdom",30,"2013","March",11863,"yes"
"Photography","United States",30,"2015","September",5000,"no"
"Crafts","Canada",30,"2015","May",7792,"no"
"Games","United States",31,"2012","December",12500,"yes"
"Publishing","Canada",30,"2015","October",4286,"no"
"Food","United States",45,"2014","July",25000,"no"
"Games","United Kingdom",25,"2017","September",13956,"no"
"Technology","Netherlands",36,"2014","July",24438,"no"
"Art","United Kingdom",16,"2017","June",32100,"no"
"Film & Video","United States",30,"2012","July",3000,"no"
"Photography","Canada",27,"2016","August",3896,"yes"
"Food","United States",30,"2015","March",8000,"no"
"Design","United States",30,"2016","June",25000,"no"
"Music","United States",45,"2011","April",5000,"no"
"Art","United States",30,"2013","November",4000,"yes"
"Film & Video","United Kingdom",40,"2014","March",1396,"no"
"Design","Australia",40,"2015","July",19010,"no"
"Design","Austria",30,"2016","October",12219,"no"
"Publishing","United States",45,"2016","January",2000,"yes"
"Games","United States",50,"2016","April",3200,"no"
"Journalism","United States",30,"2015","April",1000,"no"
"Publishing","United States",42,"2015","August",23000,"no"
"Technology","Italy",30,"2016","April",6108,"no"
"Film & Video","United Kingdom",29,"2016","January",34891,"yes"
"Film & Video","United Kingdom",14,"2013","February",2093,"no"
"Film & Video","United Kingdom",30,"2016","February",6978,"no"
"Music","Spain",30,"2016","October",2444,"no"
"Fashion","United States",40,"2013","December",15000,"no"
"Fashion","United States",32,"2016","October",50000,"yes"
"Comics","Canada",30,"2016","September",7013,"no"
"Food","United States",15,"2013","April",1300,"yes"
"Publishing","United States",30,"2014","September",15000,"no"
"Technology","United States",22,"2015","January",3000,"no"
"Film & Video","Australia",30,"2014","March",1141,"yes"
