"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Games","Italy",30,"2017","August",10692,"no"
"Film & Video","United States",15,"2012","August",9959,"yes"
"Music","United States",30,"2017","May",14000,"no"
"Food","United States",60,"2015","October",1000,"no"
"Technology","United States",30,"2014","July",8400,"no"
"Publishing","Australia",30,"2015","July",2631,"no"
"Food","Canada",30,"2014","December",27273,"no"
"Publishing","United States",30,"2017","January",5000,"no"
"Comics","United States",60,"2011","May",7800,"yes"
"Art","United Kingdom",25,"2015","November",30704,"no"
"Design","United Kingdom",39,"2015","November",34891,"yes"
"Film & Video","United Kingdom",60,"2014","November",4187,"yes"
"Food","United States",60,"2014","November",10000,"no"
"Games","United Kingdom",33,"2013","November",1814,"yes"
"Technology","United States",46,"2016","July",50000,"yes"
"Games","United States",30,"2015","April",1000,"no"
"Film & Video","United States",20,"2013","December",2000,"yes"
"Publishing","United Kingdom",60,"2014","August",3489,"yes"
"Music","United States",45,"2015","August",35000,"no"
"Art","United States",30,"2011","May",2000,"no"
"Music","United Kingdom",60,"2017","April",21632,"no"
"Fashion","United States",11,"2011","February",2850,"no"
"Technology","United States",30,"2014","June",5000,"yes"
"Food","United Kingdom",30,"2015","January",27913,"no"
"Technology","Canada",30,"2016","June",23377,"yes"
"Publishing","United States",30,"2016","September",2020,"yes"
"Food","United States",30,"2015","February",3500,"no"
"Games","Sweden",29,"2015","February",2350,"no"
"Technology","Canada",30,"2014","March",19481,"no"
"Film & Video","United States",60,"2013","February",10000,"no"
"Music","Denmark",30,"2015","November",2460,"yes"
"Technology","Spain",35,"2016","February",3666,"no"
"Games","New Zealand",18,"2014","November",1424,"no"
"Film & Video","United Kingdom",28,"2013","August",6978,"yes"
"Food","United States",30,"2017","February",30000,"no"
"Art","United States",30,"2012","November",1500,"yes"
"Film & Video","United States",60,"2012","January",10000,"no"
"Fashion","United States",30,"2015","November",2500,"no"
"Film & Video","United States",30,"2010","May",3000,"no"
"Design","United States",30,"2016","March",22000,"yes"
"Film & Video","United Kingdom",55,"2017","January",1675,"yes"
"Technology","United Kingdom",30,"2013","February",1047,"yes"
"Comics","United Kingdom",30,"2016","March",3489,"yes"
"Games","United States",30,"2015","September",1500,"no"
"Publishing","Sweden",28,"2017","March",18798,"no"
"Music","United States",30,"2015","April",15000,"no"
"Publishing","United States",30,"2012","September",5000,"yes"
"Technology","United States",30,"2016","September",17500,"no"
"Technology","United States",30,"2016","September",30000,"no"
"Publishing","Canada",30,"2016","March",1169,"no"
"Theater","United States",30,"2012","May",10000,"no"
"Publishing","United Kingdom",60,"2016","June",17794,"no"
"Publishing","United States",30,"2015","October",2263,"no"
"Journalism","Austria",30,"2017","January",12219,"no"
"Design","United Kingdom",35,"2014","January",25122,"no"
"Games","United States",45,"2012","April",1000,"yes"
"Food","United States",30,"2014","December",10000,"no"
"Theater","United States",28,"2015","March",9000,"yes"
"Publishing","United States",30,"2015","November",2550,"no"
"Design","United States",30,"2015","February",15000,"no"
"Comics","United States",30,"2012","June",2000,"no"
"Art","Germany",30,"2015","May",5926,"no"
"Games","United Kingdom",30,"2013","March",4187,"no"
"Music","Sweden",38,"2016","September",7049,"no"
"Technology","United States",30,"2013","November",5000,"no"
"Design","Australia",35,"2014","January",5323,"yes"
"Games","United States",30,"2014","September",9000,"no"
"Publishing","United States",30,"2012","November",5000,"yes"
"Theater","United States",22,"2017","May",2250,"no"
"Technology","United States",60,"2016","October",3000,"no"
"Film & Video","United States",30,"2012","February",6000,"no"
"Technology","Italy",29,"2017","June",12219,"yes"
"Fashion","United States",40,"2016","September",1500,"no"
"Music","United States",30,"2015","March",6000,"no"
"Art","Australia",30,"2015","October",14067,"no"
"Music","Switzerland",30,"2016","May",30654,"yes"
"Design","Australia",30,"2014","November",3802,"yes"
"Comics","United States",30,"2012","September",8500,"no"
"Film & Video","United States",34,"2016","March",10000,"no"
"Technology","New Zealand",60,"2017","June",2136,"no"
"Crafts","United Kingdom",30,"2015","May",3489,"no"
"Design","United Kingdom",30,"2014","January",2093,"no"
"Design","Austria",33,"2017","October",8553,"no"
"Film & Video","United Kingdom",36,"2016","November",18702,"no"
"Design","Canada",32,"2014","October",12468,"yes"
"Music","United States",30,"2017","September",1000,"yes"
"Design","United States",31,"2015","August",15000,"no"
